,date_only,number_people
0,2016-09-18,41.81481481481482
1,2016-09-19,32.63235294117647
2,2016-09-20,32.0
3,2016-09-21,30.67142857142857
4,2016-09-22,24.725490196078432
5,2016-09-23,25.45390070921986
6,2016-09-24,18.51048951048951
7,2016-09-25,19.096153846153847
8,2016-09-26,26.591304347826085
9,2016-09-27,25.131944444444443
10,2016-09-28,23.554744525547445
11,2016-09-29,23.40277777777778
12,2016-09-30,25.426573426573427
13,2016-10-01,17.02857142857143
14,2016-10-02,18.36764705882353
15,2016-10-03,26.03030303030303
16,2016-10-04,24.348214285714285
17,2016-10-05,26.627586206896552
18,2016-10-06,24.657342657342657
19,2016-10-07,25.28472222222222
20,2016-10-08,17.32867132867133
21,2016-10-09,0.2682926829268293
22,2016-10-10,38.55681818181818
23,2016-10-11,25.951724137931034
24,2016-10-12,24.53472222222222
25,2016-10-13,27.779310344827586
26,2016-10-14,21.479166666666668
27,2016-10-15,18.52413793103448
28,2016-10-16,16.9375
29,2016-10-17,25.951724137931034
30,2016-10-18,25.237762237762237
31,2016-10-19,24.401459854014597
32,2016-10-20,27.218309859154928
33,2016-10-21,24.46527777777778
34,2016-10-22,16.99310344827586
35,2016-10-23,16.145833333333332
36,2016-10-24,23.882758620689657
37,2016-10-25,24.404411764705884
38,2016-10-26,24.682758620689654
39,2016-10-27,16.510791366906474
40,2016-10-28,22.118055555555557
41,2016-10-29,15.291666666666666
42,2016-10-30,13.965034965034965
43,2016-10-31,23.28472222222222
44,2016-11-01,22.78014184397163
45,2016-11-02,23.492857142857144
46,2016-11-03,14.302158273381295
47,2016-11-04,11.167883211678832
48,2016-11-05,20.72027972027972
49,2016-11-06,17.397350993377483
50,2016-11-07,26.5531914893617
51,2016-11-08,24.771428571428572
52,2016-11-09,24.13986013986014
53,2016-11-10,25.5
54,2016-11-11,21.892857142857142
55,2016-11-12,16.816901408450704
56,2016-11-13,15.625
57,2016-11-14,25.59722222222222
58,2016-11-15,24.753521126760564
59,2016-11-16,25.41958041958042
60,2016-11-17,24.5177304964539
61,2016-11-18,24.405594405594407
62,2016-11-19,15.075862068965517
63,2016-11-20,19.734265734265733
64,2016-11-21,26.08888888888889
65,2016-11-22,21.613793103448277
66,2016-11-23,11.137931034482758
67,2016-11-24,0.8194444444444444
68,2016-11-25,8.76551724137931
69,2016-11-26,8.820689655172414
70,2016-11-27,14.907801418439716
71,2016-11-28,23.110344827586207
72,2016-11-29,22.278688524590162
73,2016-11-30,31.125
74,2016-12-01,23.282758620689656
75,2016-12-02,23.071428571428573
76,2016-12-03,17.63448275862069
77,2016-12-04,18.09027777777778
78,2016-12-05,23.65034965034965
79,2016-12-06,23.180555555555557
80,2016-12-07,20.9
81,2016-12-08,17.72027972027972
82,2016-12-09,18.471830985915492
83,2016-12-10,15.406896551724138
84,2016-12-11,12.38888888888889
85,2016-12-12,17.99310344827586
86,2016-12-13,17.51048951048951
87,2016-12-14,16.470149253731343
88,2016-12-15,13.880281690140846
89,2016-12-16,16.4375
90,2016-12-17,7.404109589041096
91,2016-12-18,6.236111111111111
92,2016-12-19,8.641379310344828
93,2016-12-20,7.402777777777778
94,2016-12-21,7.951048951048951
95,2016-12-22,6.910344827586207
96,2016-12-23,6.006944444444445
97,2016-12-24,3.013793103448276
98,2016-12-25,0.14482758620689656
99,2016-12-26,4.576388888888889
100,2016-12-27,5.517241379310345
101,2016-12-28,5.731034482758621
102,2016-12-29,5.468531468531468
103,2016-12-30,5.924137931034482
104,2016-12-31,4.215277777777778
105,2017-01-01,3.372413793103448
106,2017-01-02,6.3125
107,2017-01-03,9.489655172413793
108,2017-01-04,10.166666666666666
109,2017-01-05,2.14
110,2017-01-16,18.375
111,2017-01-17,24.5
112,2017-01-18,23.728571428571428
113,2017-01-19,19.319148936170212
114,2017-02-13,42.0
115,2017-02-22,36.34920634920635
116,2017-02-23,21.936363636363637
117,2017-02-24,31.40963855421687
118,2017-02-25,16.75
119,2017-02-26,16.293233082706767
120,2017-02-27,22.99137931034483
121,2017-02-28,31.25925925925926
122,2017-03-01,31.586206896551722
123,2017-03-02,30.925373134328357
124,2017-03-03,32.241379310344826
125,2017-03-05,28.733333333333334
126,2017-03-06,33.714285714285715
127,2017-03-07,32.067961165048544
128,2017-03-08,25.686131386861312
129,2017-03-09,20.2
130,2017-03-10,31.88135593220339
131,2017-03-12,30.62162162162162
132,2017-03-13,23.35
133,2017-03-14,17.84158415841584
134,2017-03-15,32.83132530120482
135,2017-03-16,19.394957983193276
136,2017-03-17,24.691176470588236
137,2017-03-18,12.606837606837606
